term_en,term_ja,category,canonical_definition_en,notes
traceability matrix,トレーサビリティ行列,formal-methods,A table that links requirements design choices tests and evidence,Supports Chapter 10
safety constraint,安全制約,formal-methods,A condition that limits allowed behavior to reduce risk,Useful for governance work
provenance,来歴,formal-methods,Recorded origin and transformation history of an artifact or datum,Important in integration and audit
commutative diagram,可換図式,formal-methods,A diagram that encodes a preserved result across multiple paths,Practical review artifact
interface contract,インターフェース契約,software-design,A precise statement of inputs outputs guarantees and obligations at a boundary,Core design artifact
partial function,部分関数,software-design,A transformation defined only for inputs that satisfy stated preconditions or domain restrictions,Useful for workflow boundaries and review contracts
total function,全関数,software-design,A transformation defined for every input in its stated domain,Useful when deciding whether a workflow step is universally applicable
design artifact,設計成果物,software-design,A durable document or model used to explain review and govern a system,Used in Chapter 01 and Chapter 10
canonical model,正準モデル,software-design,The authoritative representation used to align multiple design views,Useful for translation work
architecture model,アーキテクチャモデル,software-design,A structural description of components boundaries and interactions,Used in TOC and case study
runtime view,ランタイムビュー,software-design,A representation of the system during execution including operational states transitions and evidence obligations,Core Chapter 04 translation artifact
semantic drift,意味ドリフト,software-design,A mismatch where a translated artifact no longer preserves the intended meaning of its source view,Core Chapter 04 risk term
reviewer view,レビュービュー,software-design,A reviewer-facing representation that preserves decision-relevant meaning while omitting operational detail that does not affect judgment,Core Chapter 05 artifact
schema mapping,スキーマ写像,software-design,A defined translation between data structures or interface schemas,Important in migration
migration plan,移行計画,software-design,A staged plan for replacing or restructuring a running system,Important in Chapter 07
adapter,アダプタ,software-design,A component that reshapes one interface into another compatible form,Appears in Chapter 05
facade,ファサード,software-design,A simplified interface that hides internal complexity behind one boundary,Appears in Chapter 05
version skew,バージョンスキュー,software-design,A condition where linked views or artifacts evolve at different times and temporarily disagree,Important in Chapter 05 review work
coherence failure,整合失敗,software-design,A mismatch in which supposedly corresponding paths or views no longer preserve the same design meaning,Reusable negative case after Chapter 06
review checkpoint,レビューチェックポイント,software-design,A planned decision point where artifacts and risks are examined,Supports controlled delivery
rollback,ロールバック,software-design,A controlled return to a previous safe operational state,Appears in Chapters 01 and 09
operational workflow,運用ワークフロー,software-design,A sequence of runtime or human activities that delivers system outcomes,Appears in Chapters 04 and 10
bounded delegation,境界付き委任,ai-agents,A delegation pattern that limits agent authority by task scope and policy,Core workflow rule
AI agent,AIエージェント,ai-agents,A software actor that plans or acts using model driven reasoning and tools,Core domain term
agentic workflow,エージェント型ワークフロー,ai-agents,A workflow that includes agent planning action and handoff steps,Used in the title and TOC
tool call,ツール呼び出し,ai-agents,An invocation of an external capability by an agent or orchestrator,Central to Chapter 09
human review gate,人手レビューゲート,ai-agents,A mandatory human approval step before higher risk actions continue,Supports responsibility boundaries
escalation policy,エスカレーション方針,ai-agents,A rule that routes uncertain or risky cases to a higher authority,Needed for controlled automation
execution trace,実行トレース,ai-agents,A recorded sequence of steps inputs outputs and decisions during execution,Required for auditability
orchestration,オーケストレーション,ai-agents,The coordination of multiple effectful steps tools or agents into one flow,Used in Chapters 08 and 09
effect boundary,効果境界,ai-agents,A boundary that makes side effects explicit and reviewable,Core Chapter 09 term
audit log,監査ログ,ai-agents,A durable record of actions decisions and changes for later inspection,Supports operational governance
prompt context,プロンプト文脈,ai-agents,The task state instructions and references supplied to a model at invocation time,Useful when reviewing agent behavior
compositional design,合成的設計,software-design,A design approach that reasons about systems through explicit artifacts boundaries and composable transformations,Core framing term in Introduction
responsibility boundary,責任境界,software-design,A documented boundary that assigns decision rights obligations and escalation rules across people tools and systems,Core Chapter 01 term
change request,変更要求,ai-agents,A requested repository or system modification that enters the governed review flow,Running example artifact
review plan,レビュー計画,ai-agents,A bounded plan that states checks scope and reviewer expectations before execution,Running example artifact
approved change,承認済み変更,ai-agents,A change artifact that has passed required policy checks and human approval,Running example artifact
policy gate,ポリシーゲート,ai-agents,A rule-driven checkpoint that blocks progress until stated policy conditions hold,Used in the running example and Chapter 01
